iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed
PYF,Oceania,French Polynesia,2020-10-22,5161.0,0.0,226.857,19.0,0.0,0.857
TCD,Africa,Chad,2020-10-28,1468.0,8.0,9.143,97.0,1.0,0.143
MNG,Asia,Mongolia,2021-11-27,665104.0,1830.0,1879.0,1990.0,9.0,7.143
GAB,Africa,Gabon,2020-12-05,9254.0,0.0,9.0,60.0,0.0,0.143
BFA,Africa,Burkina Faso,2022-02-17,20743.0,14.0,6.714,375.0,0.0,0.0
BHR,Asia,Bahrain,2021-06-07,252600.0,1522.0,1724.143,1143.0,24.0,23.286
PRT,Europe,Portugal,2021-08-06,982364.0,2377.0,2331.857,17440.0,18.0,13.714
KWT,Asia,Kuwait,2021-07-01,358511.0,1824.0,1707.286,1979.0,10.0,10.857
HRV,Europe,Croatia,2020-04-25,2016.0,7.0,26.286,54.0,3.0,2.143
ZMB,Africa,Zambia,2021-05-17,92460.0,24.0,49.714,1261.0,1.0,0.571
TTO,North America,Trinidad and Tobago,2021-05-09,13355.0,233.0,291.714,211.0,8.0,5.286
PER,South America,Peru,2020-04-16,12491.0,1016.0,1033.571,1333.0,133.0,109.143
TTO,North America,Trinidad and Tobago,2021-04-20,9135.0,171.0,89.143,157.0,3.0,1.571
PSE,Asia,Palestine,2022-02-14,613846.0,13718.0,5060.286,5283.0,68.0,16.714
GIN,Africa,Guinea,2020-07-22,6747.0,95.0,67.286,41.0,0.0,0.429
ISR,Asia,Israel,2020-06-14,19136.0,136.0,178.857,305.0,2.0,0.714
ARM,Asia,Armenia,2022-03-18,422254.0,52.0,58.857,8592.0,3.0,3.429
DOM,North America,Dominican Republic,2021-11-04,385181.0,973.0,835.0,4146.0,2.0,3.143
LIE,Europe,Liechtenstein,2022-03-27,16098.0,81.0,112.286,83.0,0.0,0.286
MRT,Africa,Mauritania,2020-11-05,7777.0,33.0,11.0,165.0,1.0,0.286
YEM,Asia,Yemen,2021-01-06,2102.0,1.0,0.714,610.0,0.0,0.0
ISL,Europe,Iceland,2021-06-01,6576.0,0.0,2.857,30.0,0.0,0.143
SYR,Asia,Syria,2021-02-10,14668.0,57.0,66.571,965.0,4.0,4.571
CHN,Asia,China,2020-09-25,90219.0,32.0,29.286,4634.0,0.0,0.0
COD,Africa,Democratic Republic of Congo,2021-04-18,28956.0,62.0,59.143,745.0,0.0,0.0
CHL,South America,Chile,2021-03-11,873512.0,5563.0,4770.429,21362.0,156.0,74.857
RUS,Europe,Russia,2021-12-07,9692411.0,30546.0,31967.286,278131.0,1152.0,1175.857
FIN,Europe,Finland,2021-06-27,95399.0,131.0,133.429,984.0,0.0,0.286
BLR,Europe,Belarus,2020-08-10,68947.0,97.0,111.571,589.0,2.0,2.571
ESP,Europe,Spain,2021-11-23,5103315.0,6777.0,6038.571,87866.0,34.0,17.286
SMR,Europe,San Marino,2020-03-18,104.0,2.0,6.286,11.0,2.0,1.286
COM,Africa,Comoros,2020-12-03,615.0,2.0,0.714,7.0,0.0,0.0
SAU,Asia,Saudi Arabia,2020-10-28,346047.0,416.0,382.0,5348.0,19.0,16.143
AFG,Asia,Afghanistan,2022-02-04,165358.0,631.0,614.429,7420.0,0.0,2.429
STP,Africa,Sao Tome and Principe,2021-05-17,2330.0,3.0,1.714,35.0,0.0,0.0
HUN,Europe,Hungary,2020-07-30,4484.0,19.0,14.857,596.0,0.0,0.0
CHL,South America,Chile,2021-05-31,1384346.0,6839.0,7012.143,29300.0,132.0,107.429
IMN,Europe,Isle of Man,2021-10-02,7634.0,23.0,38.571,52.0,0.0,0.143
KHM,Asia,Cambodia,2022-03-16,134492.0,140.0,175.571,3049.0,1.0,0.857
MCO,Europe,Monaco,2020-06-27,103.0,1.0,0.571,4.0,0.0,0.0
BDI,Africa,Burundi,2020-07-11,191.0,0.0,0.0,1.0,0.0,0.0
BES,North America,Bonaire Sint Eustatius and Saba,2022-02-02,7103.0,26.0,59.714,28.0,0.0,0.143
AUT,Europe,Austria,2020-07-04,18165.0,115.0,83.571,705.0,0.0,0.714
BWA,Africa,Botswana,2020-10-08,3219.0,47.0,6.714,18.0,0.0,0.286
TJK,Asia,Tajikistan,2021-08-12,16330.0,68.0,70.0,124.0,0.0,0.143
MKD,Europe,North Macedonia,2021-07-07,155741.0,9.0,8.143,5486.0,0.0,0.286
GBR,Europe,United Kingdom,2020-11-09,1214298.0,21358.0,22797.571,49286.0,194.0,340.714
ATG,North America,Antigua and Barbuda,2022-01-02,4283.0,0.0,6.714,119.0,0.0,0.143
VNM,Asia,Vietnam,2021-01-18,1539.0,2.0,3.429,35.0,0.0,0.0
